Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Term Source 2 REF,Term Source 2 Accession,Characteristics [Sex],Term Source 3 REF,Term Source 3 Accession,Characteristics [Organism Part],Term Source 4 REF,Term Source 4 Accession,Experimental Condition [Class],Experimental Condition [Mouse ID],Experimental Condition [Sample ID],Experimental Condition [Score],Experimental Condition [Acquisition date],Experimental Condition [Acquisition time],Experimental Condition [Label_1],Assay Name,Source Name,Experimental Condition [treated],Comment [Image File Path],Comment [Image File Type],Comment [Image Type],Comment [Voxel Size],Comment [Volume Size],Channels
SCC,T0000.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,1,7,21/04/2015,15:09:54,,octmos-scc,T0000,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0000.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x515,grayscale
SCC,T0001.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,1,7,21/04/2015,15:15:30,,octmos-scc,T0001,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0001.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x520,grayscale
SCC,T0002.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of back,UBERON,UBERON_0001068,SCC,,1,7,21/04/2015,15:20:27,,octmos-scc,T0002,Initial DMBA solution followed by weekly TPA treatment. Skin was shaved and excised before imaging,ExperimentA/T0002.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x525,grayscale
Normal,T0003.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,5,21/04/2015,16:06:59,,octmos-normal,T0003,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0003.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x509,grayscale
Normal,T0004.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,7,21/04/2015,16:11:27,,octmos-normal,T0004,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0004.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x501,grayscale
Normal,T0005.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,7,21/04/2015,16:19:03,,octmos-normal,T0005,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0005.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x532,grayscale
Normal,T0006.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,6,21/04/2015,16:27:29,,octmos-normal,T0006,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0006.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x502,grayscale
Normal,T0008.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,5,21/04/2015,16:42:32,,octmos-normal,T0008,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0008.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x503,grayscale
Normal,T0009.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,6,21/04/2015,16:48:04,,octmos-normal,T0009,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0009.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x505,grayscale
Normal,T0010.ome.tif,Mus musculus,NCBITaxon,NCBITaxon_10090,FVB/NJ,EFO,EFO_0007728,female,PATO,PATO_0000383,skin of abdomen,UBERON,UBERON_0001416,Normal,,2,7,21/04/2015,16:53:38,,octmos-normal,T0010,No chemical treatment. Skin was shaved and excised before imaging,ExperimentA/T0010.ome.tif,raw,32-bit Real,0.45x0.45x0.20,648x488x515,grayscale
